query_id,nist_strict_vital_score_min,qrel_strict_vital_score_min,strict_vital_score_min_diff,nist_strict_vital_score_mean,qrel_strict_vital_score_mean,strict_vital_score_mean_diff,nist_strict_vital_score_median,qrel_strict_vital_score_median,strict_vital_score_median_diff,nist_strict_vital_score_max,qrel_strict_vital_score_max,strict_vital_score_max_diff,nist_strict_all_score_min,qrel_strict_all_score_min,strict_all_score_min_diff,nist_strict_all_score_mean,qrel_strict_all_score_mean,strict_all_score_mean_diff,nist_strict_all_score_median,qrel_strict_all_score_median,strict_all_score_median_diff,nist_strict_all_score_max,qrel_strict_all_score_max,strict_all_score_max_diff,nist_vital_score_min,qrel_vital_score_min,vital_score_min_diff,nist_vital_score_mean,qrel_vital_score_mean,vital_score_mean_diff,nist_vital_score_median,qrel_vital_score_median,vital_score_median_diff,nist_vital_score_max,qrel_vital_score_max,vital_score_max_diff,nist_all_score_min,qrel_all_score_min,all_score_min_diff,nist_all_score_mean,qrel_all_score_mean,all_score_mean_diff,nist_all_score_median,qrel_all_score_median,all_score_median_diff,nist_all_score_max,qrel_all_score_max,all_score_max_diff
2024-105741,0.3333333333333333,0.5714285714285714,-0.23809523809523808,0.4693877551020407,0.6705539358600583,-0.20116618075801757,0.3333333333333333,0.7142857142857143,-0.380952380952381,0.6666666666666666,0.8571428571428571,-0.19047619047619047,0.0625,0.4166666666666667,-0.3541666666666667,0.21045918367346939,0.5170068027210885,-0.30654761904761907,0.1875,0.5,-0.3125,0.3125,0.6666666666666666,-0.35416666666666663,0.3333333333333333,0.6428571428571429,-0.3095238095238096,0.5612244897959183,0.6982507288629738,-0.13702623906705547,0.5,0.7142857142857143,-0.2142857142857143,0.6666666666666666,0.8571428571428571,-0.19047619047619047,0.1875,0.5,-0.3125,0.27232142857142855,0.5756802721088435,-0.303358843537415,0.25,0.5833333333333334,-0.33333333333333337,0.375,0.7083333333333334,-0.33333333333333337
2024-121840,0.0,0.0,0.0,0.5183673469387755,0.41836734693877553,0.09999999999999998,0.6,0.5,0.09999999999999998,0.8,0.75,0.050000000000000044,0.0,0.0,0.0,0.26913265306122447,0.3452380952380953,-0.07610544217687082,0.25,0.3333333333333333,-0.08333333333333331,0.5,0.75,-0.25,0.2,0.0,0.2,0.6367346938775511,0.5331632653061225,0.10357142857142865,0.7,0.625,0.07499999999999996,0.9,0.875,0.025000000000000022,0.15625,0.125,0.03125,0.37436224489795916,0.44217687074829937,-0.0678146258503402,0.375,0.4583333333333333,-0.08333333333333331,0.59375,0.75,-0.15625
2024-127266,0.14285714285714285,0.2857142857142857,-0.14285714285714285,0.466472303206997,0.47230320699708456,-0.005830903790087549,0.42857142857142855,0.42857142857142855,0.0,0.8571428571428571,0.7142857142857143,0.1428571428571428,0.08333333333333333,0.16666666666666666,-0.08333333333333333,0.29931972789115646,0.3231292517006803,-0.023809523809523836,0.25,0.3333333333333333,-0.08333333333333331,0.5833333333333334,0.5,0.08333333333333337,0.21428571428571427,0.35714285714285715,-0.14285714285714288,0.5218658892128281,0.5058309037900875,0.01603498542274051,0.42857142857142855,0.5,-0.07142857142857145,0.9285714285714286,0.7142857142857143,0.2142857142857143,0.16666666666666666,0.20833333333333334,-0.041666666666666685,0.34013605442176864,0.3554421768707483,-0.015306122448979664,0.3333333333333333,0.375,-0.041666666666666685,0.625,0.5,0.125
2024-129925,0.09090909090909091,0.16666666666666666,-0.07575757575757575,0.5176252319109461,0.6258503401360543,-0.10822510822510822,0.5454545454545454,0.6666666666666666,-0.12121212121212122,0.7272727272727273,0.8333333333333334,-0.10606060606060608,0.09090909090909091,0.25,-0.1590909090909091,0.5176252319109461,0.5663265306122449,-0.0487012987012988,0.5454545454545454,0.5833333333333334,-0.037878787878787956,0.7272727272727273,0.6666666666666666,0.06060606060606066,0.2727272727272727,0.25,0.022727272727272707,0.5751391465677179,0.6717687074829931,-0.09662956091527519,0.5909090909090909,0.6666666666666666,-0.07575757575757569,0.7727272727272727,0.9166666666666666,-0.14393939393939392,0.2727272727272727,0.375,-0.10227272727272729,0.5751391465677179,0.6164965986394557,-0.0413574520717378,0.5909090909090909,0.625,-0.03409090909090906,0.7727272727272727,0.75,0.022727272727272707
2024-141577,0.0,0.2,-0.2,0.1921768707482993,0.3224489795918367,-0.1302721088435374,0.16666666666666666,0.2,-0.033333333333333354,0.5,0.6,-0.09999999999999998,0.05,0.16666666666666666,-0.11666666666666665,0.19999999999999998,0.3163265306122449,-0.11632653061224493,0.15,0.3333333333333333,-0.18333333333333332,0.45,0.5833333333333334,-0.13333333333333336,0.125,0.2,-0.07500000000000001,0.30272108843537415,0.39795918367346933,-0.09523809523809518,0.2916666666666667,0.4,-0.10833333333333334,0.5416666666666666,0.7,-0.15833333333333333,0.15,0.20833333333333334,-0.05833333333333335,0.31836734693877555,0.4090136054421769,-0.09064625850340136,0.3,0.375,-0.07500000000000001,0.5,0.6666666666666666,-0.16666666666666663
2024-142395,0.0,0.0,0.0,0.16169544740973313,0.5034013605442177,-0.34170591313448456,0.15384615384615385,0.6666666666666666,-0.5128205128205128,0.46153846153846156,1.0,-0.5384615384615384,0.0,0.0,0.0,0.16169544740973313,0.27891156462585037,-0.11721611721611724,0.15384615384615385,0.3333333333333333,-0.17948717948717946,0.46153846153846156,0.5833333333333334,-0.1217948717948718,0.0,0.0,0.0,0.27708006279434855,0.5510204081632653,-0.2739403453689167,0.3076923076923077,0.6666666666666666,-0.3589743589743589,0.5769230769230769,1.0,-0.42307692307692313,0.0,0.0,0.0,0.27708006279434855,0.31462585034013607,-0.03754578754578752,0.3076923076923077,0.375,-0.06730769230769229,0.5769230769230769,0.625,-0.04807692307692313
2024-143869,0.06666666666666667,0.0,0.06666666666666667,0.16326530612244897,0.47959183673469385,-0.3163265306122449,0.13333333333333333,0.5,-0.3666666666666667,0.3333333333333333,0.75,-0.4166666666666667,0.05,0.0,0.05,0.14489795918367346,0.32967032967032966,-0.1847723704866562,0.15,0.3076923076923077,-0.15769230769230771,0.3,0.46153846153846156,-0.16153846153846158,0.06666666666666667,0.25,-0.18333333333333335,0.17414965986394554,0.5892857142857143,-0.41513605442176876,0.16666666666666666,0.625,-0.45833333333333337,0.3333333333333333,0.75,-0.4166666666666667,0.05,0.11538461538461539,-0.06538461538461539,0.15459183673469387,0.37833594976452123,-0.22374411302982736,0.15,0.38461538461538464,-0.23461538461538464,0.3,0.5,-0.2
2024-145979,0.26666666666666666,0.6,-0.3333333333333333,0.4054421768707483,0.7387755102040815,-0.3333333333333332,0.4,0.8,-0.4,0.6666666666666666,1.0,-0.33333333333333337,0.26666666666666666,0.4166666666666667,-0.15000000000000002,0.4054421768707483,0.5391156462585034,-0.1336734693877551,0.4,0.5,-0.09999999999999998,0.6666666666666666,0.75,-0.08333333333333337,0.4,0.7,-0.29999999999999993,0.5156462585034013,0.842857142857143,-0.3272108843537417,0.5,0.9,-0.4,0.7666666666666667,1.0,-0.23333333333333328,0.4,0.5,-0.09999999999999998,0.5156462585034013,0.6522108843537415,-0.13656462585034024,0.5,0.6666666666666666,-0.16666666666666663,0.7666666666666667,0.875,-0.10833333333333328
2024-152259,0.0,0.0,0.0,0.2387755102040816,0.49319727891156456,-0.25442176870748295,0.2,0.5,-0.3,0.6,0.8333333333333334,-0.2333333333333334,0.0,0.16666666666666666,-0.16666666666666666,0.2840136054421769,0.3945578231292517,-0.11054421768707479,0.25,0.4166666666666667,-0.16666666666666669,0.5833333333333334,0.75,-0.16666666666666663,0.0,0.3333333333333333,-0.3333333333333333,0.30000000000000004,0.6513605442176871,-0.35136054421768703,0.25,0.6666666666666666,-0.41666666666666663,0.6,0.9166666666666666,-0.31666666666666665,0.041666666666666664,0.3333333333333333,-0.29166666666666663,0.3681972789115647,0.5799319727891157,-0.211734693877551,0.3333333333333333,0.5833333333333334,-0.25000000000000006,0.625,0.875,-0.25
2024-152817,0.0,0.14285714285714285,-0.14285714285714285,0.21821036106750394,0.5801749271137027,-0.36196456604619875,0.23076923076923078,0.5714285714285714,-0.3406593406593406,0.5384615384615384,0.7142857142857143,-0.17582417582417587,0.0625,0.16666666666666666,-0.10416666666666666,0.26913265306122447,0.43707482993197283,-0.16794217687074836,0.25,0.4166666666666667,-0.16666666666666669,0.5625,0.6666666666666666,-0.10416666666666663,0.0,0.14285714285714285,-0.14285714285714285,0.23704866562009422,0.6530612244897959,-0.4160125588697017,0.23076923076923078,0.7142857142857143,-0.4835164835164835,0.5384615384615384,0.8571428571428571,-0.31868131868131866,0.125,0.20833333333333334,-0.08333333333333334,0.3252551020408163,0.5127551020408163,-0.1875,0.3125,0.5416666666666666,-0.22916666666666663,0.5625,0.7083333333333334,-0.14583333333333337
