query_id,clarity-score-k10,clarity-score-k100,wig-norm-k100,wig-no-norm-k100,wig-norm-k1000,wig-no-norm-k1000,nqc-norm-k100,nqc-no-norm-k100,smv-norm-k100,smv-no-norm-k100,sigma-x0.5,sigma-max,RSD
2024-105741,5.757228698571504,6.23629980772964,0.08565294096205661,0.048539960991807,0.0,0.048539960991807,0.022115603809169,0.0128370798568015,0.0178085888335308,0.0103370578965697,0.0010734905462073,0.0128370798568015,0.0103370578965697
2024-121840,5.486394753769598,5.1885183170187625,0.09569723976158077,0.0503143572727272,0.0,0.0503143572727272,0.024596162742097,0.0136129413171841,0.0186077106527344,0.0102985850199013,0.001237540119744,0.0136129413171841,0.0102985850199013
2024-127266,6.424294440811211,6.650522405246875,0.08050594385663454,0.0386431263134363,0.0,0.0386431263134363,0.0252318994468996,0.0140283751873515,0.0196558485483378,0.0109282148433626,0.0009750394774544,0.0140283751873515,0.0109282148433626
2024-129925,8.923811036418178,7.82114425773078,0.10707650506737557,0.0521612033438374,0.0,0.0521612033438374,0.0676459422180512,0.0403854568434281,0.0551850472863374,0.0329461497986231,0.0035284937474212,0.0403854568434281,0.0329461497986231
2024-141577,6.616506874242862,6.529165152478741,0.08431023551959792,0.0367638394421527,0.0,0.0367638394421527,0.0230340440933409,0.0116110094691676,0.0174627855143937,0.0088026473833262,0.000846819898751,0.0116110094691676,0.0088026473833262
2024-142395,5.71942081137628,5.732159610763734,0.08151597562651224,0.0402164009287829,0.0,0.0402164009287829,0.033521260057449,0.0173691106229881,0.0256076223851087,0.0132686428026986,0.0013481044341083,0.0223372669819345,0.0132686428026986
2024-143869,7.170088079891893,7.3262349478750135,0.08263512695961493,0.0410402346380867,0.0,0.0410402346380867,0.0167542114955155,0.0096753441926321,0.0131886374869521,0.0076162705211324,0.000687596770952,0.0096753441926321,0.0076162705211324
2024-145979,7.625869249904792,7.176560203060433,0.0857806512599985,0.0431687987795902,0.0,0.0431687987795902,0.0337628212122964,0.0210203702117041,0.0264671477432242,0.0164781621924361,0.0014575004351449,0.0210203702117041,0.0164781621924361
2024-152259,7.690871828073376,8.07483232058471,0.08998371032185731,0.0409592738461538,0.0,0.0409592738461538,0.0318032848864448,0.0169343129133248,0.0265516487306621,0.0141379712685389,0.0013026394548711,0.0169343129133248,0.0141379712685389
2024-152817,6.121231708454381,6.319342760124886,0.08227374987587774,0.041415041514919,0.0,0.041415041514919,0.0203697104646386,0.0124557878844495,0.0157634354337386,0.0096391162964106,0.0008436124045398,0.0124557878844495,0.0096391162964106
