query_id,ql,IDF-avg,IDF-max,IDF-sum,IDF-std,SCQ-avg,SCQ-max,SCQ-sum,avgICTF,SCS-1,SCS-2
2024-105741,105,5.292033291045952,13.828567600461941,555.6634955598249,3.0405165572588544,113.66226411729478,207.16374680844623,11934.537732315954,12.177814703718923,5.4635691860528,31.908524829871617
2024-121840,73,4.638069546235206,8.120234808207183,338.5790768751701,1.8645965330908687,107.71158887461861,165.82038158076764,7862.945987847159,11.404761488552298,5.21493692967228,33.99227004375644
2024-127266,127,5.253982014915288,13.364588145351508,667.2557158942415,2.190874873217921,117.6004750745102,202.03347962025597,14935.260334462793,12.103412179357504,5.114727492585338,36.3994106771822
2024-129925,113,5.807514724530154,15.34952034910133,656.2491638719074,3.004182605925451,123.16218904134132,200.88118748937228,13917.32736167157,12.618692962152565,5.798513999737377,33.03667524952998
2024-141577,95,5.031427298779356,11.997608868314055,477.9855933840387,3.161361269360394,107.40517450873236,200.23607897399984,10203.491578329575,11.878943808220907,5.309088199889959,29.318594274492796
2024-142395,121,4.841433527924435,11.817333178785509,585.8134568788566,2.3232351503093995,109.75866187401884,190.2061301930325,13280.79808675628,11.574541101778589,4.6556778645039945,34.65909945177149
2024-143869,150,5.4262493535139855,15.322710524189539,813.9374030270977,3.3212822577117196,114.48539001934921,206.04955236035664,17172.808502902382,12.246704202435845,5.017885511939965,28.786259193999108
2024-145979,145,5.3378425236253015,12.771472160428395,773.9871659256687,3.0063006736292253,114.80906168733277,203.29660867501073,16647.313944663252,12.156064348545844,4.976155258530909,25.78936588534335
2024-152259,105,6.221437190544675,14.054477211681425,653.2509050071909,3.201867004004743,128.29780172192645,201.17991774335673,13471.269180802276,13.114706302464425,6.400460784798303,32.340023092862346
2024-152817,132,4.588201405399746,9.085796607373332,605.6425855127667,1.813056103128576,107.07012957277011,172.4050983568676,14133.257103605654,11.338410462600836,4.294016343242382,27.770656855049456
2024-153051,89,6.0151085474587225,13.695828645749314,535.3446607238265,3.4086553873975864,124.06386379656053,205.84356485068727,11041.683877893887,12.843312973269992,6.367579542303594,32.363228344620595
2024-158261,138,4.85984014218779,16.357501348843904,670.6579396219148,2.5093430933664638,109.08770676809831,203.863758721163,15054.103533997568,11.61264126434123,4.504116807563061,26.54300809298348
2024-158677,154,5.540715556777337,18.875737735764247,853.2701957437098,2.84503762796401,119.2768768626832,203.0616450175525,18368.639036853216,12.384332166500892,5.117545625805991,17.508283072303293
2024-158743,135,6.593702128665954,20.85149018951757,890.1497873699037,2.8771331250702827,135.70427813556765,198.3123824450192,18320.077548301633,13.507424392332096,6.430608795281265,25.5323878097087
2024-18963,85,6.127107672476998,10.38808502401928,520.8041521605448,2.4165542163931213,131.82927472336598,192.45800432018729,11205.488351486109,12.968010986379511,6.558620050241809,34.26491867241401
2024-19025,88,5.464015068730863,12.689434605477306,480.83332604831594,2.532018661394591,118.65309873194937,195.98193833917546,10441.472688411546,12.501171775178962,6.041740156541665,27.14908638020786
2024-213469,112,5.662166436049361,12.680313391865798,634.1626408375283,2.5713048230085067,122.48053612772765,203.65626348320905,13717.820046305496,12.618611907689152,5.811256985631547,23.521568554642354
2024-213789,96,5.061511262841459,11.70487908843262,485.90508123278005,1.8119414853607343,115.37562060632429,191.7047242401903,11076.059578207132,11.948401194867524,5.363438694146367,24.851773396367456
2024-213817,115,4.893737345929262,9.070690722038968,562.779794781865,1.7429800392522221,112.90564941082236,179.89259291348884,12984.149682244573,11.709220752426864,4.863730701482489,29.472668178189792
2024-213978,77,5.5870859468168925,11.645982005405415,430.2056179049007,2.5068141181671924,121.6138113413954,191.68305567305998,9364.263473287445,12.474785216847216,6.207998676152315,26.741654050673542
2024-214096,125,6.247326200876174,13.828013037687137,780.9157751095219,3.306619341767807,128.34850721113926,204.74933783189627,16043.563401392406,13.104251262400457,6.13846697773837,38.97132080188813
2024-214257,83,5.712803654991838,13.643987730258782,474.1627033643225,3.461894028279966,118.8117699857207,198.20040396559313,9861.376908814822,12.534644496329463,6.1596050649825385,27.89838994987618
2024-214467,69,4.890048323504768,8.246886771214323,337.41333432182904,2.002184894768567,111.73509307135753,167.95672857124993,7709.721421923671,11.74334867321498,5.634824216436811,23.639298176013043
2024-215044,133,4.359074581924686,8.458832886071185,579.7569193959831,2.1515351396886024,100.697138215516,171.72723143426313,13392.719382663628,10.979703888248888,3.9244214527476986,21.964433898920042
2024-215952,122,5.81181227779509,14.538607234233215,709.041097891001,3.2382923876488032,121.61553021983568,209.99534546917914,14837.094686819952,12.690210957255431,5.759473619692545,24.73974869027674
2024-216592,112,4.81748477043989,9.605333515814248,539.5582942892677,1.7559541581761111,111.98513478327332,178.31785027522005,12542.335095726614,11.479172478268762,4.671817556211157,22.20876522933093
2024-217279,114,4.577920996274676,12.151339501737235,521.8829935753131,2.197039701613832,104.96377276677823,200.57337068658873,11965.870095412716,11.405083612884228,4.572193598719486,25.56358012428943
2024-217812,98,5.39866280691541,17.203791933448453,529.0689550777101,3.989197279004659,108.3365869267601,191.24326856977558,10616.98551882249,12.345511225390618,5.73080138127541,33.05472161206762
2024-219563,95,4.596630293307221,16.399729584233203,436.6798778641861,3.268775641264032,98.48214386296284,190.63322755741393,9355.803666981468,11.536060774160937,4.966205165829989,26.859868269445148
2024-219624,95,4.979391961065437,10.636199883866336,473.0422363012166,1.9232506202557476,114.09985276043739,196.66671991141453,10839.486012241552,11.730048860764022,5.160193252433074,28.757642989386277
2024-224279,106,4.691030900560904,12.684992316583736,497.2492754594558,1.8237276983166855,107.99889350932382,192.13713424759283,11447.882711988324,11.617202202804874,4.889281748241674,28.128394226455274
2024-224701,99,7.042657442517806,13.361240978890486,697.2230868092628,3.1917885585978163,140.73980976902482,205.9593240493655,13933.24116713346,13.966881841544703,7.337525221465094,40.74882086543613
2024-224926,113,5.952264544334906,11.40947977230925,672.6058935098443,2.0703697824906344,129.86319460798165,195.0733139997155,14674.540990701928,12.873041198633993,6.052862236218806,22.95040022198596
2024-22886,101,4.6389240872541615,11.965082302774793,468.5313328126703,2.1058538004437186,106.72548622211433,200.88693277891073,10779.274108433547,11.440899266949355,4.78268778419756,23.806083210086054
2024-27366,76,4.641307944367673,9.15868582772261,352.7394037719432,1.9878108059400474,105.84710129672156,172.36538986978118,8044.379698550839,11.668059424877562,5.420131911433977,26.2471688687087
2024-29182,98,4.031807155592657,9.109910848064702,395.1171012480803,2.1233306993860093,94.05767611167778,174.45413681456088,9217.652258944425,10.818147619524824,4.203437775409616,24.897773926783092
2024-32912,120,6.084776262250255,13.255548981059345,730.1731514700306,2.367510574278503,130.89508251238732,196.15923620147802,15707.409901486477,12.922168247233959,6.01527765162544,34.90373300635352
2024-35227,102,5.834568683836603,10.568015934380558,595.1260057513337,2.2177601505347937,127.7576817415311,188.52616016553495,13031.283537636173,12.641616601585103,5.969191259613607,31.85551471393251
2024-35269,146,4.776669852735782,10.475238158379769,697.3937984994241,2.0301675625133715,109.21615762857178,186.7788932796945,15945.559013771479,11.604417887566857,4.4145933286868395,40.55367594902081
2024-35284,116,5.518217045983862,12.01928582932342,640.113177334128,2.6013240327662355,120.28269094649232,196.10838091518877,13952.79214979311,12.343092705867678,5.485111710740106,31.970256725916688
2024-35620,119,5.534306812888366,13.803639204166087,658.5825107337155,3.134772260639379,117.32545388785043,205.9294616067491,13961.729012654201,12.371506560083821,5.4766887967758775,37.26672435624319
2024-38986,160,4.716514652844301,13.040169019354048,754.6423444550883,2.456322753680431,106.10378064947656,218.09291948860135,16976.604903916246,11.586477822271505,4.264549727384142,22.720458516149993
2024-41849,130,4.945630902015041,13.59174692582679,642.9320172619554,2.7341405088768704,109.20086380843058,200.09706775895785,14196.112295095974,11.751016678633638,4.728648865605184,25.907322924107568
2024-42497,162,5.524551466311207,15.222133569437961,894.9773375424156,2.622601375649119,120.68820023291582,206.88441116779651,19551.488437732365,12.300523712758933,4.960673709874308,33.91189299419165
2024-43037,119,5.286793142157423,18.010187935536628,629.1283839167335,2.58388250298635,116.6561797475546,210.13703695907063,13882.085389958997,12.067370502119319,5.172552738811375,30.924765062232805
2024-43983,126,5.221127875139066,10.746301899048905,657.8621122675223,2.73295893712067,113.40810623075325,188.15217633337906,14289.42138507491,12.202673930555688,5.225394007055772,31.918623378674457
2024-44060,113,5.929518496977862,12.339539919827564,670.0355901584983,2.943956276369164,124.57044815532291,205.51800502194558,14076.460641551488,12.834994736490332,6.014815774075144,28.0227536836896
2024-58819,94,4.54481030823491,10.944825032622049,427.2121689740816,2.979352008629402,99.4923854108455,187.00545237023317,9352.28422861948,11.48309979987796,4.928510948200323,29.560709367332045
2024-73340,97,5.135457967434984,13.417557069117077,498.13942284119344,2.4550902177450658,113.9637990889845,201.402271568115,11054.488511631496,12.017069284325192,5.417156442138064,23.96148470237578
2024-73918,112,4.8548943561027755,8.722244743245165,543.7481678835107,2.0205902591061555,110.41976063918932,169.7581711899273,12367.013191589203,11.742326664402308,4.934971742344703,24.371496104925008
2024-79081,127,5.0333096678781315,15.176238803467312,639.2303278205228,2.308552353455385,113.1190872825376,200.10953131987975,14366.124084882278,11.838825012493025,4.85014032572086,34.239189325392815
2024-79154,128,4.995767832107239,11.139823215953225,639.4582825097266,2.497910426842232,111.97466830834716,196.3202391150823,14332.757543468435,11.767040500708285,4.767040500708285,27.75986303850192
2024-88894,187,4.316647663398907,10.132215465221591,807.2131130555956,2.1102346334782975,100.24832619515982,184.41202494175755,18746.436998494886,11.093061449244223,3.5461669893565864,21.559877797098792
2024-94706,161,5.520796020236874,13.31932910453436,888.8481592581368,3.0019274224662134,117.99684490840798,206.88579974336346,18997.492030253685,12.416316021331392,5.085399143216775,31.42029732650208
2024-96063,126,4.753811300940275,12.382866146599552,598.9802239184747,3.0095638225911405,103.9559287427852,199.12638733830894,13098.447021590935,11.487651300754942,4.510371377255026,24.617283835294106
