qpp_metric,qpp_type,retrieval_method,nugget_strict_vital_score_pearson_mean,nugget_strict_vital_score_pearson_n,nugget_strict_vital_score_kendall_mean,nugget_strict_vital_score_kendall_n,nugget_strict_all_score_pearson_mean,nugget_strict_all_score_pearson_n,nugget_strict_all_score_kendall_mean,nugget_strict_all_score_kendall_n,nugget_vital_score_pearson_mean,nugget_vital_score_pearson_n,nugget_vital_score_kendall_mean,nugget_vital_score_kendall_n,nugget_all_score_pearson_mean,nugget_all_score_pearson_n,nugget_all_score_kendall_mean,nugget_all_score_kendall_n,retrieval_ndcg@10_pearson_mean,retrieval_ndcg@10_pearson_n,retrieval_ndcg@10_kendall_mean,retrieval_ndcg@10_kendall_n,retrieval_recall@100_pearson_mean,retrieval_recall@100_pearson_n,retrieval_recall@100_kendall_mean,retrieval_recall@100_kendall_n
IDF-avg,pre_cohere,cohere,0.13206460813898893,56,0.10749449160327719,56,0.12988524467668333,56,0.09752704029562673,56,0.15232622978058905,56,0.11793331416043817,56,0.15952413230710136,56,0.11252578054068296,56,-0.1308721168762908,56,-0.0793705095850986,56,-0.2095838359515654,56,-0.15830742933334443,56
IDF-max,pre_cohere,cohere,0.05772880499799783,56,0.050146197267266025,56,0.0430412233670383,56,0.03579376292099384,56,0.07604938704833632,56,0.06293073317392181,56,0.058606607505279996,56,0.04878868303458619,56,0.00797461871686145,56,-0.00813531271296657,56,-0.05839035333930094,56,-0.045304429786698006,56
IDF-std,pre_cohere,cohere,-0.05787128369231032,56,-0.035510481138749835,56,-0.07826023008798885,56,-0.049208052079181996,56,-0.06012207114005729,56,-0.039265948884913075,56,-0.0733972157308045,56,-0.04296683176519535,56,0.027299429357548845,56,0.04069079486176907,56,0.0560433696823965,56,0.08034492851875356,56
IDF-sum,pre_cohere,cohere,0.09389667834352923,56,0.07139504967779021,56,0.07103169021027327,56,0.056637962626951324,56,0.11988575214541931,56,0.09432507824431366,56,0.10193825312420213,56,0.07869446220266048,56,-0.0664278860102523,56,-0.03264962157287784,56,-0.11903347567958407,56,-0.09681985577898285,56
RSD,post_cohere,cohere,-0.0015876478547003081,56,0.0142649821347083,56,-0.0060941781287198364,56,0.006243668818784094,56,-0.01784473110202784,56,-0.003865691654224334,56,-0.023477240453941173,56,-0.009265787167054704,56,0.3196077072259787,56,0.21755533503103072,56,0.4173235507239196,56,0.306382486228549,56
SCQ-avg,pre_cohere,cohere,0.12830137572989556,56,0.10734144611879971,56,0.13159703563563555,56,0.0980103348704978,56,0.1484003241945467,56,0.12602639013085967,56,0.15867506421807637,56,0.12018738508210905,56,-0.12716853028832706,56,-0.07080290395692242,56,-0.21174558543654645,56,-0.15712293472259078,56
SCQ-max,pre_cohere,cohere,0.047466934592573916,54,0.05107677648341186,54,0.042843244081428235,54,0.039779885963489504,54,0.05896761298122891,54,0.050877971486412384,54,0.05896410083896672,54,0.04693320460422714,54,-0.046867559959798605,54,-0.0310062691334781,54,-0.10853792278124309,54,-0.08061153954562199,54
SCQ-sum,pre_cohere,cohere,0.0943241901509274,56,0.07301432837113442,56,0.07045623145246672,56,0.05833429940539627,56,0.11977455360052576,56,0.09586203309509751,56,0.10100880599203589,56,0.08031251766935998,56,-0.06322874378636131,56,-0.03207776757880699,56,-0.11532118498161974,56,-0.09387747096921233,56
SCS-1,pre_cohere,cohere,-0.05342358074254257,56,-0.03970507308731747,56,-0.020216187005087836,56,-0.0094200176967545,56,-0.06544439347544591,56,-0.04449853666449006,56,-0.03576187116958123,56,-0.01696140983974657,56,0.011068730854192233,56,-0.0034003833696658126,56,0.058424363101371966,56,0.021343265935113858,56
SCS-2,pre_cohere,cohere,0.07845066331006292,56,0.08487196244530439,56,0.08683817197866496,56,0.08082127980658729,56,0.09983437233018123,56,0.09778959926222244,56,0.11530156965061414,56,0.09314629726673467,56,-0.1511632072718851,56,-0.09012234167413932,56,-0.21192308593163592,56,-0.15879276595763442,56
avgICTF,pre_cohere,cohere,0.13691698658030957,56,0.10473282345126352,56,0.12269181370664904,56,0.0868858200989907,56,0.16038761050852615,56,0.11859285237860906,56,0.15399395700514146,56,0.10362091923798664,56,-0.12744990154559235,56,-0.0869644097020563,56,-0.19187492216304464,56,-0.15425167664926942,56
bert_qpp_bi_encoder,post_cohere,cohere,-0.061727152181898004,56,-0.05194660034296592,56,-0.06470276645585818,56,-0.06268438364230108,56,-0.05329582334081839,56,-0.049341551469345726,56,-0.0696491441934992,56,-0.06411578074983461,56,0.077229754643018,56,0.08817834146854356,56,0.07385994644240268,56,0.10291925680832002,56
bert_qpp_cross_encoder,post_cohere,cohere,-0.014967431598206358,56,-0.01051140638232513,56,0.0040401540799448864,56,-0.0021225720458019786,56,-0.02270018392200709,56,-0.014645092221587929,56,-0.004161472809931883,56,-0.0030983003687957145,56,-0.006332774369492587,56,-0.0064107854724156765,56,-0.019698907859839417,56,-0.02484631405868856,56
clarity-score-k10,post_cohere,cohere,-0.0236783043091734,56,-0.015018777036978967,56,0.00023888404500607596,56,0.009193997525328007,56,-0.0013782438190350018,56,0.0005716882573258281,56,0.011739412868011523,56,0.010744343451021848,56,0.0606094411578071,56,0.025531979493216506,56,0.07944096086134196,56,0.053809677282599486,56
clarity-score-k100,post_cohere,cohere,0.00939421530936234,56,0.013254012507511783,56,0.012275738049831104,56,0.020405073368565063,56,0.05595037432992957,56,0.05488862455159317,56,0.045670269966301934,56,0.038588467458526225,56,-0.022379892875696562,56,-0.026638425576253066,56,-0.0021641544258916407,56,0.005264100451091346,56
nqc-no-norm-k100,post_cohere,cohere,-0.014542058643218453,56,0.007188712564954161,56,-0.020715767317263687,56,0.0037010786287811387,56,-0.0329892330175254,56,-0.013561897386301754,56,-0.038425121397948785,56,-0.0113501575434676,56,0.3285872673533428,56,0.22513354819467551,56,0.4206329645956935,56,0.3206805846151291,56
