qpp_metric,qpp_type,nugget_strict_vital_score_pearson_mean,nugget_strict_vital_score_kendall_mean,nugget_strict_all_score_pearson_mean,nugget_strict_all_score_kendall_mean,nugget_vital_score_pearson_mean,nugget_vital_score_kendall_mean,nugget_all_score_pearson_mean,nugget_all_score_kendall_mean,retrieval_ndcg@10_pearson_mean,retrieval_ndcg@10_kendall_mean,retrieval_recall@100_pearson_mean,retrieval_recall@100_kendall_mean
IDF-avg,pre_cohere,0.1321,0.1075,0.1299,0.0975,0.1523,0.1179,0.1595,0.1125,-0.1309,-0.0794,-0.2096,-0.1583
IDF-max,pre_cohere,0.0577,0.0501,0.043,0.0358,0.076,0.0629,0.0586,0.0488,0.008,-0.0081,-0.0584,-0.0453
IDF-std,pre_cohere,-0.0579,-0.0355,-0.0783,-0.0492,-0.0601,-0.0393,-0.0734,-0.043,0.0273,0.0407,0.056,0.0803
IDF-sum,pre_cohere,0.0939,0.0714,0.071,0.0566,0.1199,0.0943,0.1019,0.0787,-0.0664,-0.0326,-0.119,-0.0968
RSD,post_cohere,-0.0016,0.0143,-0.0061,0.0062,-0.0178,-0.0039,-0.0235,-0.0093,0.3196,0.2176,0.4173,0.3064
SCQ-avg,pre_cohere,0.1283,0.1073,0.1316,0.098,0.1484,0.126,0.1587,0.1202,-0.1272,-0.0708,-0.2117,-0.1571
SCQ-max,pre_cohere,0.0475,0.0511,0.0428,0.0398,0.059,0.0509,0.059,0.0469,-0.0469,-0.031,-0.1085,-0.0806
SCQ-sum,pre_cohere,0.0943,0.073,0.0705,0.0583,0.1198,0.0959,0.101,0.0803,-0.0632,-0.0321,-0.1153,-0.0939
SCS-1,pre_cohere,-0.0534,-0.0397,-0.0202,-0.0094,-0.0654,-0.0445,-0.0358,-0.017,0.0111,-0.0034,0.0584,0.0213
SCS-2,pre_cohere,0.0785,0.0849,0.0868,0.0808,0.0998,0.0978,0.1153,0.0931,-0.1512,-0.0901,-0.2119,-0.1588
avgICTF,pre_cohere,0.1369,0.1047,0.1227,0.0869,0.1604,0.1186,0.154,0.1036,-0.1274,-0.087,-0.1919,-0.1543
bert_qpp_bi_encoder,post_cohere,-0.0617,-0.0519,-0.0647,-0.0627,-0.0533,-0.0493,-0.0696,-0.0641,0.0772,0.0882,0.0739,0.1029
bert_qpp_cross_encoder,post_cohere,-0.015,-0.0105,0.004,-0.0021,-0.0227,-0.0146,-0.0042,-0.0031,-0.0063,-0.0064,-0.0197,-0.0248
clarity-score-k10,post_cohere,-0.0237,-0.015,0.0002,0.0092,-0.0014,0.0006,0.0117,0.0107,0.0606,0.0255,0.0794,0.0538
clarity-score-k100,post_cohere,0.0094,0.0133,0.0123,0.0204,0.056,0.0549,0.0457,0.0386,-0.0224,-0.0266,-0.0022,0.0053
nqc-no-norm-k100,post_cohere,-0.0145,0.0072,-0.0207,0.0037,-0.033,-0.0136,-0.0384,-0.0114,0.3286,0.2251,0.4206,0.3207
nqc-norm-k100,post_cohere,-0.0034,0.0011,-0.0069,-0.0103,-0.0305,-0.0239,-0.0227,-0.0234,0.2905,0.1952,0.3698,0.2705
null,pre_cohere,,,,,,,,,,,,
ql,pre_cohere,0.0923,0.0709,0.0633,0.0539,0.1157,0.0884,0.0919,0.0706,-0.0455,-0.0268,-0.0909,-0.0776
rv_bert,pre_cohere,,,,,,,,,,,,
rv_e5,pre_cohere,,,,,,,,,,,,
sigma-max,post_cohere,-0.0361,-0.0048,-0.053,-0.0206,-0.0512,-0.023,-0.0628,-0.0282,0.2902,0.2071,0.3722,0.2893
sigma-x0.5,post_cohere,-0.0669,-0.0705,-0.0527,-0.0525,-0.0828,-0.0881,-0.0689,-0.0721,0.0768,0.0806,0.169,0.1464
smv-no-norm-k100,post_cohere,-0.0016,0.0143,-0.0061,0.0062,-0.0178,-0.0039,-0.0235,-0.0093,0.3196,0.2176,0.4173,0.3064
smv-norm-k100,post_cohere,0.0047,0.0063,0.0046,0.0016,-0.0199,-0.0156,-0.0122,-0.0136,0.2897,0.1992,0.3797,0.2746
wig-no-norm-k100,post_cohere,-0.0634,-0.0714,-0.0496,-0.0557,-0.0825,-0.0894,-0.0675,-0.0756,0.0334,0.0304,0.119,0.0907
wig-no-norm-k1000,post_cohere,-0.0634,-0.0714,-0.0496,-0.0557,-0.0825,-0.0894,-0.0675,-0.0756,0.0334,0.0304,0.119,0.0907
wig-norm-k100,post_cohere,-0.0544,-0.0584,-0.04,-0.043,-0.0721,-0.0732,-0.0572,-0.0591,0.0191,0.0218,0.106,0.0767
wig-norm-k1000,post_cohere,,,,,,,,,,,,
