qpp_metric,retrieval_method,nugget_strict_vital_score_pearson,nugget_all_score_pearson,retrieval_ndcg@10_pearson,retrieval_recall@100_pearson
IDF-avg,cohere,0.1321,0.1595,-0.1309,-0.2096
IDF-avg,pyserini,0.1313,0.2046,-0.1365,-0.1377
IDF-max,cohere,0.0577,0.0586,0.008,-0.0584
IDF-max,pyserini,0.1885,0.2434,0.1002,0.1175
IDF-std,cohere,-0.0579,-0.0734,0.0273,0.056
IDF-std,pyserini,-0.0111,-0.0412,0.0991,0.06
IDF-sum,cohere,0.0939,0.1019,-0.0664,-0.119
IDF-sum,pyserini,0.1667,0.244,0.006,0.0761
RSD,cohere,-0.0016,-0.0235,0.3196,0.4173
RSD,pyserini,0.1578,0.2301,-0.0103,0.0729
SCQ-avg,cohere,0.1283,0.1587,-0.1272,-0.2117
SCQ-avg,pyserini,0.1227,0.2013,-0.1483,-0.1379
SCQ-max,cohere,0.0475,0.059,-0.0469,-0.1085
SCQ-max,pyserini,0.1554,0.2436,0.0447,0.0763
SCQ-sum,cohere,0.0943,0.101,-0.0632,-0.1153
SCQ-sum,pyserini,0.1676,0.2441,0.0095,0.0805
SCS-1,cohere,-0.0534,-0.0358,0.0111,0.0584
SCS-1,pyserini,-0.1805,-0.2316,-0.0857,-0.1834
SCS-2,cohere,0.0785,0.1153,-0.1512,-0.2119
SCS-2,pyserini,0.0885,0.1681,-0.0932,-0.0651
avgICTF,cohere,0.1369,0.154,-0.1274,-0.1919
avgICTF,pyserini,0.1531,0.2271,-0.1129,-0.099
bert_qpp_bi_encoder,cohere,-0.0617,-0.0696,0.0772,0.0739
bert_qpp_bi_encoder,pyserini,0.1055,0.082,0.0463,0.0705
bert_qpp_cross_encoder,cohere,-0.015,-0.0042,-0.0063,-0.0197
bert_qpp_cross_encoder,pyserini,0.1389,0.1906,0.1472,0.1388
clarity-score-k10,cohere,-0.0237,0.0117,0.0606,0.0794
clarity-score-k10,pyserini,0.0338,0.0704,-0.0816,-0.0275
clarity-score-k100,cohere,0.0094,0.0457,-0.0224,-0.0022
clarity-score-k100,pyserini,-0.0019,0.0612,-0.1017,-0.0934
nqc-no-norm-k100,cohere,-0.0145,-0.0384,0.3286,0.4206
nqc-no-norm-k100,pyserini,0.1596,0.233,-0.0074,0.0684
nqc-norm-k100,cohere,-0.0034,-0.0227,0.2905,0.3698
nqc-norm-k100,pyserini,0.0941,0.0857,0.2182,0.3248
,cohere,,,,
,pyserini,,,,
ql,cohere,0.0923,0.0919,-0.0455,-0.0909
ql,pyserini,0.1722,0.2444,0.0287,0.1083
qsdqpp_predicted_ndcg,cohere,-0.0237,-0.0162,-0.1064,-0.0658
qsdqpp_predicted_ndcg,pyserini,0.0707,0.0702,0.0105,0.0265
sigma-max,cohere,-0.0361,-0.0628,0.2902,0.3722
sigma-max,pyserini,0.1608,0.2339,-0.0051,0.0685
sigma-x0.5,cohere,-0.0669,-0.0689,0.0768,0.169
sigma-x0.5,pyserini,0.1682,0.2335,-0.0244,0.0562
smv-no-norm-k100,cohere,-0.0016,-0.0235,0.3196,0.4173
smv-no-norm-k100,pyserini,0.1578,0.2301,-0.0103,0.0729
smv-norm-k100,cohere,0.0047,-0.0122,0.2897,0.3797
smv-norm-k100,pyserini,0.0928,0.0853,0.1993,0.324
wig-no-norm-k100,cohere,-0.0634,-0.0675,0.0334,0.119
wig-no-norm-k100,pyserini,0.1325,0.2204,-0.0917,-0.0495
wig-no-norm-k1000,cohere,-0.0634,-0.0675,0.0334,0.119
wig-no-norm-k1000,pyserini,0.1325,0.2204,-0.0917,-0.0495
wig-norm-k100,cohere,-0.0544,-0.0572,0.0191,0.106
wig-norm-k100,pyserini,-0.1905,-0.2534,-0.0522,-0.1126
wig-norm-k1000,cohere,,,,
wig-norm-k1000,pyserini,,,,
