qpp_metric,qpp_type,retrieval_method,nugget_strict_vital_score_pearson_mean,nugget_strict_vital_score_pearson_n,nugget_strict_vital_score_kendall_mean,nugget_strict_vital_score_kendall_n,nugget_strict_all_score_pearson_mean,nugget_strict_all_score_pearson_n,nugget_strict_all_score_kendall_mean,nugget_strict_all_score_kendall_n,nugget_vital_score_pearson_mean,nugget_vital_score_pearson_n,nugget_vital_score_kendall_mean,nugget_vital_score_kendall_n,nugget_all_score_pearson_mean,nugget_all_score_pearson_n,nugget_all_score_kendall_mean,nugget_all_score_kendall_n,retrieval_ndcg@10_pearson_mean,retrieval_ndcg@10_pearson_n,retrieval_ndcg@10_kendall_mean,retrieval_ndcg@10_kendall_n,retrieval_recall@100_pearson_mean,retrieval_recall@100_pearson_n,retrieval_recall@100_kendall_mean,retrieval_recall@100_kendall_n
IDF-avg,pre_cohere,cohere,0.13206460813898893,56,0.10749449160327719,56,0.12988524467668333,56,0.09752704029562673,56,0.15232622978058905,56,0.11793331416043817,56,0.15952413230710136,56,0.11252578054068296,56,-0.1308721168762908,56,-0.0793705095850986,56,-0.2095838359515654,56,-0.15830742933334443,56
IDF-avg,pre_pyserini,pyserini,0.1313483035900571,56,0.11243579604839053,56,0.16277004549107557,56,0.1268161698538603,56,0.16120465150092914,56,0.12143964207162931,56,0.20464911239536995,56,0.14164475546295432,56,-0.1364602700760498,56,-0.08753578891688443,56,-0.1376659957347396,56,-0.07706186995226871,56
IDF-max,pre_cohere,cohere,0.05772880499799783,56,0.050146197267266025,56,0.0430412233670383,56,0.03579376292099384,56,0.07604938704833632,56,0.06293073317392181,56,0.058606607505279996,56,0.04878868303458619,56,0.00797461871686145,56,-0.00813531271296657,56,-0.05839035333930094,56,-0.045304429786698006,56
IDF-max,pre_pyserini,pyserini,0.18845218340476785,56,0.1591294784568443,56,0.21197096559391035,56,0.1713747440440005,56,0.2133611088679628,56,0.16076256131296301,56,0.24335121770225326,56,0.17556502141957347,56,0.1001682092393702,56,0.07422677813298927,56,0.11754975201658116,56,0.09773534451658628,56
IDF-std,pre_cohere,cohere,-0.05787128369231032,56,-0.035510481138749835,56,-0.07826023008798885,56,-0.049208052079181996,56,-0.06012207114005729,56,-0.039265948884913075,56,-0.0733972157308045,56,-0.04296683176519535,56,0.027299429357548845,56,0.04069079486176907,56,0.0560433696823965,56,0.08034492851875356,56
IDF-std,pre_pyserini,pyserini,-0.011131840090777485,56,-0.014465038810374795,56,-0.04294565548940377,56,-0.03030327028004748,56,-0.02343266174595616,56,-0.020901356141130707,56,-0.04119895834531103,56,-0.02592921529345188,56,0.09913885368534732,56,0.08299128191452373,56,0.060004928053548685,56,0.07018780088709177,56
IDF-sum,pre_cohere,cohere,0.09389667834352923,56,0.07139504967779021,56,0.07103169021027327,56,0.056637962626951324,56,0.11988575214541931,56,0.09432507824431366,56,0.10193825312420213,56,0.07869446220266048,56,-0.0664278860102523,56,-0.03264962157287784,56,-0.11903347567958407,56,-0.09681985577898285,56
IDF-sum,pre_pyserini,pyserini,0.16666398266263155,56,0.1449334419058987,56,0.20612835667867985,56,0.17900678093618158,56,0.2060730590799133,56,0.16898770254820095,56,0.2439839004806003,56,0.1945229575247232,56,0.005979035188182469,56,-0.0010439480188201042,56,0.07605952415060033,56,0.04618360805421253,56
RSD,post_cohere,cohere,-0.0015876478547003081,56,0.0142649821347083,56,-0.0060941781287198364,56,0.006243668818784094,56,-0.01784473110202784,56,-0.003865691654224334,56,-0.023477240453941173,56,-0.009265787167054704,56,0.3196077072259787,56,0.21755533503103072,56,0.4173235507239196,56,0.306382486228549,56
RSD,post_pyserini,pyserini,0.15780912253692272,56,0.14965298088817428,56,0.1932649558578752,56,0.17906366730225637,56,0.19167554658382327,56,0.1636939590716549,56,0.23012608713388435,56,0.18550365107165795,56,-0.010329559255996738,56,0.00462158737241478,56,0.07287391469684101,56,0.074782558043008,56
SCQ-avg,pre_cohere,cohere,0.12830137572989556,56,0.10734144611879971,56,0.13159703563563555,56,0.0980103348704978,56,0.1484003241945467,56,0.12602639013085967,56,0.15867506421807637,56,0.12018738508210905,56,-0.12716853028832706,56,-0.07080290395692242,56,-0.21174558543654645,56,-0.15712293472259078,56
SCQ-avg,pre_pyserini,pyserini,0.1226641379179654,56,0.11393698751524492,56,0.16137897498489387,56,0.12890810112617748,56,0.15481478973969517,56,0.1271800444274864,56,0.20128608679332394,56,0.14250018586744234,56,-0.14832080513391815,56,-0.09318883705090578,56,-0.13792413696446926,56,-0.07196256302718496,56
SCQ-max,pre_cohere,cohere,0.047466934592573916,54,0.05107677648341186,54,0.042843244081428235,54,0.039779885963489504,54,0.05896761298122891,54,0.050877971486412384,54,0.05896410083896672,54,0.04693320460422714,54,-0.046867559959798605,54,-0.0310062691334781,54,-0.10853792278124309,54,-0.08061153954562199,54
SCQ-max,pre_pyserini,pyserini,0.15540584483558645,54,0.11423264344609858,54,0.20273327165578522,54,0.1468440131900937,54,0.1872406925666114,54,0.1292434573605737,54,0.24357014468025562,54,0.170530045668756,54,0.04467913940703472,54,0.041465506813679644,54,0.07634073776428002,54,0.06294117374685197,54
SCQ-sum,pre_cohere,cohere,0.0943241901509274,56,0.07301432837113442,56,0.07045623145246672,56,0.05833429940539627,56,0.11977455360052576,56,0.09586203309509751,56,0.10100880599203589,56,0.08031251766935998,56,-0.06322874378636131,56,-0.03207776757880699,56,-0.11532118498161974,56,-0.09387747096921233,56
SCQ-sum,pre_pyserini,pyserini,0.16764770679485697,56,0.1447813274656033,56,0.20649478504753296,56,0.17860426740668803,56,0.20685217072725473,56,0.1689968331190821,56,0.24412435792422776,56,0.1945528804369821,56,0.009460937716688723,56,0.001929907939483267,56,0.08046822478265218,56,0.047983263302646725,56
SCS-1,pre_cohere,cohere,-0.05342358074254257,56,-0.03970507308731747,56,-0.020216187005087836,56,-0.0094200176967545,56,-0.06544439347544591,56,-0.04449853666449006,56,-0.03576187116958123,56,-0.01696140983974657,56,0.011068730854192233,56,-0.0034003833696658126,56,0.058424363101371966,56,0.021343265935113858,56
SCS-1,pre_pyserini,pyserini,-0.18046141824941567,56,-0.12245455400923776,56,-0.21214269413386017,56,-0.1405427837894986,56,-0.20708294072167663,56,-0.13741632979296728,56,-0.23158484531458212,56,-0.1456354344672341,56,-0.08565883241405661,56,-0.06662562827836452,56,-0.18339975016162977,56,-0.12866630031803653,56
SCS-2,pre_cohere,cohere,0.07845066331006292,56,0.08487196244530439,56,0.08683817197866496,56,0.08082127980658729,56,0.09983437233018123,56,0.09778959926222244,56,0.11530156965061414,56,0.09314629726673467,56,-0.1511632072718851,56,-0.09012234167413932,56,-0.21192308593163592,56,-0.15879276595763442,56
SCS-2,pre_pyserini,pyserini,0.0884787670475881,56,0.09859280988535164,56,0.13401131654826395,56,0.1256348204376927,56,0.11892701534257981,56,0.11776762348052218,56,0.168106816733317,56,0.14766832320224518,56,-0.09315601712134661,56,-0.06065951515779241,56,-0.06512940513855996,56,-0.026430749137196057,56
avgICTF,pre_cohere,cohere,0.13691698658030957,56,0.10473282345126352,56,0.12269181370664904,56,0.0868858200989907,56,0.16038761050852615,56,0.11859285237860906,56,0.15399395700514146,56,0.10362091923798664,56,-0.12744990154559235,56,-0.0869644097020563,56,-0.19187492216304464,56,-0.15425167664926942,56
avgICTF,pre_pyserini,pyserini,0.15310761167821166,56,0.1253673369107537,56,0.1857932650246617,56,0.1439358625695125,56,0.18519487665656498,56,0.1399691270656716,56,0.22705259040379863,56,0.16313326541887094,56,-0.11294812395379335,56,-0.07501644582116665,56,-0.09895325105589182,56,-0.0584010106088181,56
bert_qpp_bi_encoder,post_cohere,cohere,-0.061727152181898004,56,-0.05194660034296592,56,-0.06470276645585818,56,-0.06268438364230108,56,-0.05329582334081839,56,-0.049341551469345726,56,-0.0696491441934992,56,-0.06411578074983461,56,0.077229754643018,56,0.08817834146854356,56,0.07385994644240268,56,0.10291925680832002,56
bert_qpp_bi_encoder,post_pyserini,pyserini,0.10554432771643787,56,0.041829236484000214,56,0.10961969147388442,56,0.028992550696169073,56,0.10434362898341722,56,0.04628521137983769,56,0.08200745721433776,56,0.011512456627523726,56,0.046258626519305825,56,0.024741310966349066,56,0.07053998392316707,56,0.034290353164589206,56
bert_qpp_cross_encoder,post_cohere,cohere,-0.014967431598206358,56,-0.01051140638232513,56,0.0040401540799448864,56,-0.0021225720458019786,56,-0.02270018392200709,56,-0.014645092221587929,56,-0.004161472809931883,56,-0.0030983003687957145,56,-0.006332774369492587,56,-0.0064107854724156765,56,-0.019698907859839417,56,-0.02484631405868856,56
