qpp_metric,qpp_type,retrieval_method,nugget_strict_vital_score_pearson_mean,nugget_strict_vital_score_pearson_n,nugget_strict_vital_score_kendall_mean,nugget_strict_vital_score_kendall_n,nugget_strict_all_score_pearson_mean,nugget_strict_all_score_pearson_n,nugget_strict_all_score_kendall_mean,nugget_strict_all_score_kendall_n,nugget_vital_score_pearson_mean,nugget_vital_score_pearson_n,nugget_vital_score_kendall_mean,nugget_vital_score_kendall_n,nugget_all_score_pearson_mean,nugget_all_score_pearson_n,nugget_all_score_kendall_mean,nugget_all_score_kendall_n,retrieval_ndcg@10_pearson_mean,retrieval_ndcg@10_pearson_n,retrieval_ndcg@10_kendall_mean,retrieval_ndcg@10_kendall_n,retrieval_recall@100_pearson_mean,retrieval_recall@100_pearson_n,retrieval_recall@100_kendall_mean,retrieval_recall@100_kendall_n
IDF-avg,pre_pyserini,pyserini,0.1313483035900571,56,0.11243579604839053,56,0.16277004549107557,56,0.1268161698538603,56,0.16120465150092914,56,0.12143964207162931,56,0.20464911239536995,56,0.14164475546295432,56,-0.1364602700760498,56,-0.08753578891688443,56,-0.1376659957347396,56,-0.07706186995226871,56
IDF-max,pre_pyserini,pyserini,0.18845218340476785,56,0.1591294784568443,56,0.21197096559391035,56,0.1713747440440005,56,0.2133611088679628,56,0.16076256131296301,56,0.24335121770225326,56,0.17556502141957347,56,0.1001682092393702,56,0.07422677813298927,56,0.11754975201658116,56,0.09773534451658628,56
IDF-std,pre_pyserini,pyserini,-0.011131840090777485,56,-0.014465038810374795,56,-0.04294565548940377,56,-0.03030327028004748,56,-0.02343266174595616,56,-0.020901356141130707,56,-0.04119895834531103,56,-0.02592921529345188,56,0.09913885368534732,56,0.08299128191452373,56,0.060004928053548685,56,0.07018780088709177,56
IDF-sum,pre_pyserini,pyserini,0.16666398266263155,56,0.1449334419058987,56,0.20612835667867985,56,0.17900678093618158,56,0.2060730590799133,56,0.16898770254820095,56,0.2439839004806003,56,0.1945229575247232,56,0.005979035188182469,56,-0.0010439480188201042,56,0.07605952415060033,56,0.04618360805421253,56
RSD,post_pyserini,pyserini,0.15780912253692272,56,0.14965298088817428,56,0.1932649558578752,56,0.17906366730225637,56,0.19167554658382327,56,0.1636939590716549,56,0.23012608713388435,56,0.18550365107165795,56,-0.010329559255996738,56,0.00462158737241478,56,0.07287391469684101,56,0.074782558043008,56
SCQ-avg,pre_pyserini,pyserini,0.1226641379179654,56,0.11393698751524492,56,0.16137897498489387,56,0.12890810112617748,56,0.15481478973969517,56,0.1271800444274864,56,0.20128608679332394,56,0.14250018586744234,56,-0.14832080513391815,56,-0.09318883705090578,56,-0.13792413696446926,56,-0.07196256302718496,56
SCQ-max,pre_pyserini,pyserini,0.15540584483558645,54,0.11423264344609858,54,0.20273327165578522,54,0.1468440131900937,54,0.1872406925666114,54,0.1292434573605737,54,0.24357014468025562,54,0.170530045668756,54,0.04467913940703472,54,0.041465506813679644,54,0.07634073776428002,54,0.06294117374685197,54
SCQ-sum,pre_pyserini,pyserini,0.16764770679485697,56,0.1447813274656033,56,0.20649478504753296,56,0.17860426740668803,56,0.20685217072725473,56,0.1689968331190821,56,0.24412435792422776,56,0.1945528804369821,56,0.009460937716688723,56,0.001929907939483267,56,0.08046822478265218,56,0.047983263302646725,56
SCS-1,pre_pyserini,pyserini,-0.18046141824941567,56,-0.12245455400923776,56,-0.21214269413386017,56,-0.1405427837894986,56,-0.20708294072167663,56,-0.13741632979296728,56,-0.23158484531458212,56,-0.1456354344672341,56,-0.08565883241405661,56,-0.06662562827836452,56,-0.18339975016162977,56,-0.12866630031803653,56
SCS-2,pre_pyserini,pyserini,0.0884787670475881,56,0.09859280988535164,56,0.13401131654826395,56,0.1256348204376927,56,0.11892701534257981,56,0.11776762348052218,56,0.168106816733317,56,0.14766832320224518,56,-0.09315601712134661,56,-0.06065951515779241,56,-0.06512940513855996,56,-0.026430749137196057,56
