qpp_metric,qpp_type,retrieval_method,nugget_strict_vital_score_pearson_mean,nugget_strict_vital_score_kendall_mean,nugget_strict_all_score_pearson_mean,nugget_strict_all_score_kendall_mean,nugget_vital_score_pearson_mean,nugget_vital_score_kendall_mean,nugget_all_score_pearson_mean,nugget_all_score_kendall_mean,retrieval_ndcg@10_pearson_mean,retrieval_ndcg@10_kendall_mean,retrieval_recall@100_pearson_mean,retrieval_recall@100_kendall_mean
IDF-avg,pre_cohere,cohere,0.1321,0.1075,0.1299,0.0975,0.1523,0.1179,0.1595,0.1125,-0.1309,-0.0794,-0.2096,-0.1583
IDF-avg,pre_pyserini,pyserini,0.1313,0.1124,0.1628,0.1268,0.1612,0.1214,0.2046,0.1416,-0.1365,-0.0875,-0.1377,-0.0771
IDF-max,pre_cohere,cohere,0.0577,0.0501,0.043,0.0358,0.076,0.0629,0.0586,0.0488,0.008,-0.0081,-0.0584,-0.0453
IDF-max,pre_pyserini,pyserini,0.1885,0.1591,0.212,0.1714,0.2134,0.1608,0.2434,0.1756,0.1002,0.0742,0.1175,0.0977
IDF-std,pre_cohere,cohere,-0.0579,-0.0355,-0.0783,-0.0492,-0.0601,-0.0393,-0.0734,-0.043,0.0273,0.0407,0.056,0.0803
IDF-std,pre_pyserini,pyserini,-0.0111,-0.0145,-0.0429,-0.0303,-0.0234,-0.0209,-0.0412,-0.0259,0.0991,0.083,0.06,0.0702
IDF-sum,pre_cohere,cohere,0.0939,0.0714,0.071,0.0566,0.1199,0.0943,0.1019,0.0787,-0.0664,-0.0326,-0.119,-0.0968
IDF-sum,pre_pyserini,pyserini,0.1667,0.1449,0.2061,0.179,0.2061,0.169,0.244,0.1945,0.006,-0.001,0.0761,0.0462
RSD,post_cohere,cohere,-0.0016,0.0143,-0.0061,0.0062,-0.0178,-0.0039,-0.0235,-0.0093,0.3196,0.2176,0.4173,0.3064
RSD,post_pyserini,pyserini,0.1578,0.1497,0.1933,0.1791,0.1917,0.1637,0.2301,0.1855,-0.0103,0.0046,0.0729,0.0748
SCQ-avg,pre_cohere,cohere,0.1283,0.1073,0.1316,0.098,0.1484,0.126,0.1587,0.1202,-0.1272,-0.0708,-0.2117,-0.1571
SCQ-avg,pre_pyserini,pyserini,0.1227,0.1139,0.1614,0.1289,0.1548,0.1272,0.2013,0.1425,-0.1483,-0.0932,-0.1379,-0.072
SCQ-max,pre_cohere,cohere,0.0475,0.0511,0.0428,0.0398,0.059,0.0509,0.059,0.0469,-0.0469,-0.031,-0.1085,-0.0806
SCQ-max,pre_pyserini,pyserini,0.1554,0.1142,0.2027,0.1468,0.1872,0.1292,0.2436,0.1705,0.0447,0.0415,0.0763,0.0629
SCQ-sum,pre_cohere,cohere,0.0943,0.073,0.0705,0.0583,0.1198,0.0959,0.101,0.0803,-0.0632,-0.0321,-0.1153,-0.0939
SCQ-sum,pre_pyserini,pyserini,0.1676,0.1448,0.2065,0.1786,0.2069,0.169,0.2441,0.1946,0.0095,0.0019,0.0805,0.048
SCS-1,pre_cohere,cohere,-0.0534,-0.0397,-0.0202,-0.0094,-0.0654,-0.0445,-0.0358,-0.017,0.0111,-0.0034,0.0584,0.0213
SCS-1,pre_pyserini,pyserini,-0.1805,-0.1225,-0.2121,-0.1405,-0.2071,-0.1374,-0.2316,-0.1456,-0.0857,-0.0666,-0.1834,-0.1287
SCS-2,pre_cohere,cohere,0.0785,0.0849,0.0868,0.0808,0.0998,0.0978,0.1153,0.0931,-0.1512,-0.0901,-0.2119,-0.1588
SCS-2,pre_pyserini,pyserini,0.0885,0.0986,0.134,0.1256,0.1189,0.1178,0.1681,0.1477,-0.0932,-0.0607,-0.0651,-0.0264
avgICTF,pre_cohere,cohere,0.1369,0.1047,0.1227,0.0869,0.1604,0.1186,0.154,0.1036,-0.1274,-0.087,-0.1919,-0.1543
avgICTF,pre_pyserini,pyserini,0.1531,0.1254,0.1858,0.1439,0.1852,0.14,0.2271,0.1631,-0.1129,-0.075,-0.099,-0.0584
bert_qpp_bi_encoder,post_cohere,cohere,-0.0617,-0.0519,-0.0647,-0.0627,-0.0533,-0.0493,-0.0696,-0.0641,0.0772,0.0882,0.0739,0.1029
bert_qpp_bi_encoder,post_pyserini,pyserini,0.1055,0.0418,0.1096,0.029,0.1043,0.0463,0.082,0.0115,0.0463,0.0247,0.0705,0.0343
bert_qpp_cross_encoder,post_cohere,cohere,-0.015,-0.0105,0.004,-0.0021,-0.0227,-0.0146,-0.0042,-0.0031,-0.0063,-0.0064,-0.0197,-0.0248
bert_qpp_cross_encoder,post_pyserini,pyserini,0.1389,0.0886,0.1706,0.113,0.1507,0.0827,0.1906,0.1198,0.1472,0.0917,0.1388,0.0958
clarity-score-k10,post_cohere,cohere,-0.0237,-0.015,0.0002,0.0092,-0.0014,0.0006,0.0117,0.0107,0.0606,0.0255,0.0794,0.0538
clarity-score-k10,post_pyserini,pyserini,0.0338,0.0217,0.0454,0.0298,0.0586,0.0354,0.0704,0.0439,-0.0816,-0.0778,-0.0275,-0.0305
clarity-score-k100,post_cohere,cohere,0.0094,0.0133,0.0123,0.0204,0.056,0.0549,0.0457,0.0386,-0.0224,-0.0266,-0.0022,0.0053
clarity-score-k100,post_pyserini,pyserini,-0.0019,-0.0054,0.032,0.0229,0.0146,-0.0012,0.0612,0.0353,-0.1017,-0.0751,-0.0934,-0.061
nqc-no-norm-k100,post_cohere,cohere,-0.0145,0.0072,-0.0207,0.0037,-0.033,-0.0136,-0.0384,-0.0114,0.3286,0.2251,0.4206,0.3207
nqc-no-norm-k100,post_pyserini,pyserini,0.1596,0.1542,0.1944,0.1817,0.1943,0.1679,0.233,0.1899,-0.0074,0.0077,0.0684,0.0719
nqc-norm-k100,post_cohere,cohere,-0.0034,0.0011,-0.0069,-0.0103,-0.0305,-0.0239,-0.0227,-0.0234,0.2905,0.1952,0.3698,0.2705
nqc-norm-k100,post_pyserini,pyserini,0.0941,0.0602,0.1026,0.0749,0.0874,0.0607,0.0857,0.0613,0.2182,0.1537,0.3248,0.2323
null,pre_cohere,cohere,,,,,,,,,,,,
null,pre_pyserini,pyserini,,,,,,,,,,,,
ql,pre_cohere,cohere,0.0923,0.0709,0.0633,0.0539,0.1157,0.0884,0.0919,0.0706,-0.0455,-0.0268,-0.0909,-0.0776
ql,pre_pyserini,pyserini,0.1722,0.1482,0.2082,0.1804,0.21,0.1712,0.2444,0.1955,0.0287,0.0096,0.1083,0.0638
qsdqpp_predicted_ndcg,pre_cohere,cohere,-0.0237,-0.0141,-0.0163,-0.0023,-0.034,-0.0242,-0.0162,-0.0038,-0.1064,-0.0904,-0.0658,-0.0415
qsdqpp_predicted_ndcg,pre_pyserini,pyserini,0.0707,0.0368,0.0877,0.0529,0.0551,0.0192,0.0702,0.036,0.0105,0.0073,0.0265,0.0246
sigma-max,post_cohere,cohere,-0.0361,-0.0048,-0.053,-0.0206,-0.0512,-0.023,-0.0628,-0.0282,0.2902,0.2071,0.3722,0.2893
sigma-max,post_pyserini,pyserini,0.1608,0.1513,0.1946,0.1754,0.1948,0.1649,0.2339,0.1859,-0.0051,0.0034,0.0685,0.0643
sigma-x0.5,post_cohere,cohere,-0.0669,-0.0705,-0.0527,-0.0525,-0.0828,-0.0881,-0.0689,-0.0721,0.0768,0.0806,0.169,0.1464
sigma-x0.5,post_pyserini,pyserini,0.1682,0.1488,0.1969,0.1664,0.2008,0.162,0.2335,0.1765,-0.0244,-0.0078,0.0562,0.0567
smv-no-norm-k100,post_cohere,cohere,-0.0016,0.0143,-0.0061,0.0062,-0.0178,-0.0039,-0.0235,-0.0093,0.3196,0.2176,0.4173,0.3064
smv-no-norm-k100,post_pyserini,pyserini,0.1578,0.1497,0.1933,0.1791,0.1917,0.1637,0.2301,0.1855,-0.0103,0.0046,0.0729,0.0748
smv-norm-k100,post_cohere,cohere,0.0047,0.0063,0.0046,0.0016,-0.0199,-0.0156,-0.0122,-0.0136,0.2897,0.1992,0.3797,0.2746
smv-norm-k100,post_pyserini,pyserini,0.0928,0.0645,0.1044,0.0825,0.0855,0.0584,0.0853,0.0648,0.1993,0.1432,0.324,0.2382
wig-no-norm-k100,post_cohere,cohere,-0.0634,-0.0714,-0.0496,-0.0557,-0.0825,-0.0894,-0.0675,-0.0756,0.0334,0.0304,0.119,0.0907
wig-no-norm-k100,post_pyserini,pyserini,0.1325,0.123,0.1808,0.1497,0.1701,0.1482,0.2204,0.173,-0.0917,-0.0552,-0.0495,-0.0078
wig-no-norm-k1000,post_cohere,cohere,-0.0634,-0.0714,-0.0496,-0.0557,-0.0825,-0.0894,-0.0675,-0.0756,0.0334,0.0304,0.119,0.0907
wig-no-norm-k1000,post_pyserini,pyserini,0.1325,0.123,0.1808,0.1497,0.1701,0.1482,0.2204,0.173,-0.0917,-0.0552,-0.0495,-0.0078
wig-norm-k100,post_cohere,cohere,-0.0544,-0.0584,-0.04,-0.043,-0.0721,-0.0732,-0.0572,-0.0591,0.0191,0.0218,0.106,0.0767
wig-norm-k100,post_pyserini,pyserini,-0.1905,-0.1502,-0.2324,-0.1716,-0.2228,-0.1703,-0.2534,-0.1837,-0.0522,-0.0255,-0.1126,-0.0737
wig-norm-k1000,post_cohere,cohere,,,,,,,,,,,,
wig-norm-k1000,post_pyserini,pyserini,,,,,,,,,,,,
