qpp_metric,retrieval_method,n_queries,nugget_strict_vital_score_mean,nugget_strict_all_score_mean,nugget_vital_score_mean,nugget_all_score_mean,retrieval_ndcg@10_mean,retrieval_recall@100_mean
pre_IDF-avg,cohere,56,0.3862,0.3161,0.4999,0.4152,0.5102,0.3319
pre_IDF-max,cohere,56,0.3857,0.3131,0.4733,0.3983,0.5226,0.353
pre_IDF-std,cohere,56,0.3392,0.2834,0.4479,0.3799,0.5217,0.3549
pre_IDF-sum,cohere,56,0.3842,0.3104,0.4782,0.4098,0.5001,0.3433
RSD,cohere,56,0.3281,0.2887,0.4305,0.3875,0.5744,0.3865
pre_SCQ-avg,cohere,56,0.3911,0.3216,0.5027,0.4212,0.5121,0.3371
pre_SCQ-max,cohere,56,0.3663,0.2821,0.4683,0.3777,0.5079,0.3387
pre_SCQ-sum,cohere,56,0.3863,0.3113,0.4821,0.4091,0.496,0.3412
pre_SCS-1,cohere,56,0.3277,0.2858,0.424,0.3762,0.5444,0.3753
pre_SCS-2,cohere,56,0.3731,0.3097,0.4707,0.4009,0.4951,0.3269
pre_avgICTF,cohere,56,0.3916,0.3211,0.5043,0.4211,0.5021,0.332
bert_qpp_bi_encoder,cohere,56,0.3237,0.2678,0.4413,0.3658,0.5414,0.3459
bert_qpp_cross_encoder,cohere,56,0.3281,0.2692,0.4327,0.3662,0.5116,0.3611
clarity-score-k10,cohere,56,0.324,0.2836,0.4316,0.3799,0.5083,0.3615
clarity-score-k100,cohere,56,0.3218,0.2812,0.4426,0.3899,0.5056,0.3486
nqc-no-norm-k100,cohere,56,0.3208,0.292,0.4254,0.3879,0.5663,0.3809
nqc-norm-k100,cohere,56,0.3138,0.2844,0.4244,0.3885,0.5671,0.3835
pre_null,cohere,0,,,,,,
pre_ql,cohere,56,0.3796,0.303,0.4809,0.4043,0.5134,0.3482
qsd_post_predicted_ndcg,cohere,56,0.3432,0.2864,0.4443,0.3852,0.5458,0.3518
pre_qsdqpp_predicted_ndcg,cohere,56,0.3843,0.3119,0.4908,0.4054,0.513,0.3405
pre_rv_bert,cohere,56,0.3277,0.2869,0.424,0.3773,0.5408,0.3747
pre_rv_e5,cohere,56,0.3277,0.2869,0.424,0.3773,0.5408,0.3747
sigma-max,cohere,56,0.3148,0.2826,0.4214,0.3844,0.5586,0.3818
sigma-x0.5,cohere,56,0.3277,0.2869,0.424,0.3773,0.5408,0.3747
smv-no-norm-k100,cohere,56,0.3281,0.2887,0.4305,0.3875,0.5744,0.3865
smv-norm-k100,cohere,56,0.3174,0.2793,0.4185,0.3768,0.5732,0.3873
wig-no-norm-k100,cohere,56,0.3277,0.2869,0.424,0.3773,0.5408,0.3747
wig-no-norm-k1000,cohere,56,0.3277,0.2869,0.424,0.3773,0.5408,0.3747
wig-norm-k100,cohere,56,0.3277,0.2869,0.424,0.3773,0.5408,0.3747
wig-norm-k1000,cohere,56,0.3277,0.2869,0.424,0.3773,0.5408,0.3747
original,cohere,56,0.3277,0.2869,0.424,0.3773,0.5408,0.3747
max_oracle_nugget_all,cohere,56,0.4847,0.4388,0.589,0.5332,0.5586,0.3558
max_oracle_ndcg@5,cohere,56,0.3545,0.2953,0.4592,0.3917,0.6492,0.3735
max_oracle_ndcg@10,cohere,56,0.358,0.2981,0.4515,0.3902,0.683,0.3875
max_oracle_recall@100,cohere,56,0.3321,0.2861,0.4418,0.3777,0.5986,0.4439
max_oracle_strict_all_score,cohere,56,0.5129,0.4567,0.5768,0.5124,0.5547,0.3516
max_oracle_strict_vital_score,cohere,56,0.569,0.4192,0.6208,0.4859,0.5431,0.3443
max_oracle_vital_score,cohere,56,0.5463,0.4065,0.6539,0.505,0.5486,0.3604
max_oracle_genonly_nugget_all_score,cohere,56,0.3683,0.3004,0.4683,0.3991,0.504,0.3501
max_oracle_genonly_nugget_strict_all_score,cohere,56,0.3454,0.3057,0.4468,0.4008,0.508,0.3537
max_oracle_genonly_nugget_strict_vital_score,cohere,56,0.3326,0.2886,0.4348,0.3817,0.511,0.3489
max_oracle_genonly_nugget_vital_score,cohere,56,0.3503,0.3057,0.4576,0.4023,0.5257,0.3565
avg_genqr,cohere,56,0.3753,0.3067,0.4789,0.4013,0.5198,0.3354
avg_genqr_ensemble,cohere,56,0.366,0.302,0.4728,0.3986,0.4855,0.3269
avg_mugi,cohere,56,0.3637,0.2891,0.4642,0.3838,0.5346,0.3636
avg_qa_expand,cohere,56,0.3235,0.2804,0.4258,0.3702,0.5199,0.3559
avg_query2doc,cohere,56,0.3279,0.2715,0.4273,0.3609,0.5517,0.3714
avg_query2e,cohere,56,0.3544,0.2995,0.4529,0.3919,0.5124,0.3422
