qpp_metric,retrieval_method,n_queries,nugget_strict_vital_score_mean,nugget_strict_all_score_mean,nugget_vital_score_mean,nugget_all_score_mean,genonly_strict_vital_score_mean,genonly_strict_all_score_mean,genonly_vital_score_mean,genonly_all_score_mean,retrieval_ndcg@5_mean,retrieval_ndcg@10_mean,retrieval_recall@100_mean
pre_IDF-avg,pyserini,56,0.3494198262055404,0.2865036841782474,0.4420778997787926,0.3724950644209959,0.3341106314320599,0.2858173691357293,0.4482490971330257,0.3875202985745887,0.2738503522788805,0.2641661305039799,0.2093574581647238
pre_IDF-max,pyserini,56,0.3770581600938744,0.3125947805818438,0.4728668033355533,0.3977964619322148,0.3295923570477142,0.2668949575137379,0.4411758132740276,0.3669954576650314,0.3601484855024374,0.358235405312029,0.2385957627700902
pre_IDF-std,pyserini,56,0.2898910117660118,0.2289242932328127,0.3864227042798472,0.3186584025095746,0.3233399041434756,0.2736763107893139,0.432171610631432,0.3716094561827921,0.339605461972935,0.3221513562858277,0.2036274219587162
pre_IDF-sum,pyserini,56,0.3665421879707594,0.2952437590788984,0.4593770936404865,0.3861274407935177,0.3492168545739974,0.2987667847319273,0.4540454213445284,0.401505939067444,0.3292427112939631,0.3137249684685145,0.2171441020432557
RSD,pyserini,56,0.345252515341801,0.2769973973057509,0.4393816129307201,0.3722651286775291,0.3491947041054185,0.2947765755946593,0.4712813104554176,0.4010815327081636,0.3316134999638621,0.320496994406109,0.2199189104412015
pre_SCQ-avg,pyserini,56,0.3409376833483976,0.2797232447297407,0.4381840505724434,0.3683221452533289,0.3612300398014683,0.2944455931526089,0.4716302298891585,0.3976642425158015,0.2754805603032494,0.2644056234646052,0.2104295882725004
pre_SCQ-max,pyserini,56,0.3376772037486323,0.2683065794714401,0.4317310293872793,0.3624483782440715,0.3109563799295942,0.2617779238121454,0.4224596583971584,0.3627915911871434,0.3583480597484939,0.3398021600488131,0.2133627794277622
pre_SCQ-sum,pyserini,56,0.3625030723245009,0.2927052436727359,0.4594447343331271,0.3842962450284984,0.3507049498120927,0.2984435785263682,0.4582971220248005,0.4008595266563257,0.3385432776202896,0.3196153848131245,0.2190408708517892
pre_SCS-1,pyserini,56,0.226797408940266,0.1834094666421346,0.3203158448694163,0.2736601801268293,0.3194305198769484,0.2577738757139464,0.42904802290963,0.3609086275367096,0.2894062585346353,0.2848787943937271,0.1769750809743722
pre_SCS-2,pyserini,56,0.336114183435612,0.2703633844348682,0.4295012651039437,0.362014328182506,0.3413086913086913,0.2879229410755837,0.4531176784524999,0.3926378376310652,0.2964690804942332,0.281165568945728,0.2097987730621704
pre_avgICTF,pyserini,56,0.3486970370898942,0.2864693435189068,0.4378474576019219,0.3740575644209959,0.3390851212279783,0.289984035802396,0.4571351515547944,0.3950666584646986,0.2748160647574011,0.2649805628125922,0.2100078022590875
bert_qpp_bi_encoder,pyserini,56,0.2973834449280877,0.2276419078857159,0.3804383488535274,0.3098889137761594,0.3291388423084851,0.2610323502330634,0.4315255429094715,0.3616829103436246,0.3040065866517905,0.2866399679290249,0.217997578882755
bert_qpp_cross_encoder,pyserini,56,0.3199637911691483,0.2471586670185188,0.4101518768929483,0.3356283555548952,0.3158289379271522,0.2550208380033402,0.4207962672248386,0.357332921360177,0.3533865466822804,0.3191357509829516,0.2154680527866604
clarity-score-k10,pyserini,56,0.299184496059496,0.2381834481430898,0.3964444161988805,0.3294202852055434,0.3201138890871034,0.264871364675793,0.4319332824913182,0.3707031650609576,0.2860371396328488,0.2783508377191987,0.2112048139099483
