qpp_metric,retrieval_method,n_queries,nugget_strict_vital_score_mean,nugget_strict_all_score_mean,nugget_vital_score_mean,nugget_all_score_mean,retrieval_ndcg@10_mean,retrieval_recall@100_mean
pre_IDF-avg,pyserini,56,0.3494,0.2865,0.4421,0.3725,0.2642,0.2094
pre_IDF-max,pyserini,56,0.3771,0.3126,0.4729,0.3978,0.3582,0.2386
pre_IDF-std,pyserini,56,0.2899,0.2289,0.3864,0.3187,0.3222,0.2036
pre_IDF-sum,pyserini,56,0.3665,0.2952,0.4594,0.3861,0.3137,0.2171
RSD,pyserini,56,0.3453,0.277,0.4394,0.3723,0.3205,0.2199
pre_SCQ-avg,pyserini,56,0.3409,0.2797,0.4382,0.3683,0.2644,0.2104
pre_SCQ-max,pyserini,56,0.3377,0.2683,0.4317,0.3624,0.3398,0.2134
pre_SCQ-sum,pyserini,56,0.3625,0.2927,0.4594,0.3843,0.3196,0.219
pre_SCS-1,pyserini,56,0.2268,0.1834,0.3203,0.2737,0.2849,0.177
pre_SCS-2,pyserini,56,0.3361,0.2704,0.4295,0.362,0.2812,0.2098
pre_avgICTF,pyserini,56,0.3487,0.2865,0.4378,0.3741,0.265,0.21
bert_qpp_bi_encoder,pyserini,56,0.2974,0.2276,0.3804,0.3099,0.2866,0.218
bert_qpp_cross_encoder,pyserini,56,0.32,0.2472,0.4102,0.3356,0.3191,0.2155
clarity-score-k10,pyserini,56,0.2992,0.2382,0.3964,0.3294,0.2784,0.2112
clarity-score-k100,pyserini,56,0.2788,0.2362,0.384,0.3328,0.2685,0.1965
nqc-no-norm-k100,pyserini,56,0.3553,0.2803,0.4551,0.3806,0.317,0.2195
nqc-norm-k100,pyserini,56,0.3157,0.2607,0.4077,0.3505,0.3759,0.2537
pre_null,pyserini,0,,,,,,
pre_ql,pyserini,56,0.368,0.2984,0.4654,0.394,0.3335,0.2283
qsd_post_predicted_ndcg,pyserini,56,0.322,0.2626,0.4166,0.3574,0.3683,0.207
pre_qsdqpp_predicted_ndcg,pyserini,56,0.333,0.2669,0.4245,0.3543,0.2955,0.1989
pre_rv_bert,pyserini,56,0.2268,0.1823,0.3203,0.2731,0.2813,0.1776
pre_rv_e5,pyserini,56,0.2268,0.1823,0.3203,0.2731,0.2813,0.1776
sigma-max,pyserini,56,0.3534,0.2768,0.4543,0.378,0.3047,0.2177
sigma-x0.5,pyserini,56,0.3522,0.2797,0.4542,0.3766,0.3099,0.2152
smv-no-norm-k100,pyserini,56,0.3453,0.277,0.4394,0.3723,0.3205,0.2199
smv-norm-k100,pyserini,56,0.3126,0.2593,0.4042,0.3477,0.368,0.2519
wig-no-norm-k100,pyserini,56,0.3332,0.2692,0.4273,0.3613,0.2805,0.2034
wig-no-norm-k1000,pyserini,56,0.3332,0.2692,0.4273,0.3613,0.2805,0.2034
wig-norm-k100,pyserini,56,0.2268,0.1823,0.3203,0.2731,0.2813,0.1776
wig-norm-k1000,pyserini,56,0.2268,0.1823,0.3203,0.2731,0.2813,0.1776
original,pyserini,56,0.2268,0.1823,0.3203,0.2731,0.2813,0.1776
max_oracle_nugget_all,pyserini,56,0.4847,0.4151,0.585,0.5107,0.3835,0.2347
max_oracle_ndcg@5,pyserini,56,0.3435,0.2918,0.4443,0.3953,0.5411,0.2568
max_oracle_ndcg@10,pyserini,56,0.3458,0.2987,0.4456,0.3949,0.5698,0.2631
max_oracle_recall@100,pyserini,56,0.3626,0.2837,0.4589,0.3831,0.4481,0.333
max_oracle_strict_all_score,pyserini,56,0.4888,0.4234,0.5604,0.4896,0.3676,0.2351
max_oracle_strict_vital_score,pyserini,56,0.5358,0.3869,0.6018,0.4629,0.348,0.2309
max_oracle_vital_score,pyserini,56,0.5281,0.3772,0.6361,0.4747,0.3674,0.2444
max_oracle_genonly_nugget_all_score,pyserini,56,0.3155,0.2643,0.4172,0.3572,0.3536,0.2182
max_oracle_genonly_nugget_strict_all_score,pyserini,56,0.3049,0.2491,0.415,0.3512,0.3346,0.2187
max_oracle_genonly_nugget_strict_vital_score,pyserini,56,0.2852,0.2152,0.3851,0.3178,0.3239,0.2092
max_oracle_genonly_nugget_vital_score,pyserini,56,0.3044,0.2398,0.4036,0.3383,0.3287,0.2139
avg_genqr,pyserini,56,0.3218,0.2635,0.4222,0.3574,0.2553,0.1811
avg_genqr_ensemble,pyserini,56,0.326,0.2685,0.4269,0.3644,0.2857,0.204
avg_mugi,pyserini,56,0.3487,0.2753,0.4494,0.3708,0.387,0.2538
avg_qa_expand,pyserini,56,0.2866,0.2312,0.3829,0.3208,0.3301,0.2177
avg_query2doc,pyserini,56,0.3098,0.2509,0.4095,0.3405,0.3888,0.2353
avg_query2e,pyserini,56,0.2683,0.2155,0.3597,0.3034,0.3153,0.1968
